"id","model_id","category_id","guid","name"
"56","5d8cdb841328534298eacf4a","4","5dc1a538dcb3d540e4d15dec","avgurbpumping"
"57","5d8cdb841328534298eacf4a","4","5dc1a593dcb3d540e4d15ded","avgurbbackuse"
"58","5d8cdb841328534298eacf4a","4","5dc1a5e8dcb3d540e4d15dee","avgmxflows"
"59","5d8cdb841328534298eacf4a","4","5dc1a669dcb3d540e4d15def","avgtotagben"
"60","5d8cdb841328534298eacf4a","4","5dc1a6c9dcb3d540e4d15df0","avgrecben"
"61","5d8cdb841328534298eacf4a","4","5dc1a720dcb3d540e4d15df1","avgtoturbben"
"62","5d8cdb841328534298eacf4a","3","5dc1a7afdcb3d540e4d15df2","GWacres"
"63","5d8cdb841328534298eacf4a","4","5dc1a826dcb3d540e4d15df3","avgtotben"
"64","5d8cdb841328534298eacf4a","2","5dc1a8a5dcb3d540e4d15df4","r_return_o"
"65","5d8cdb841328534298eacf4a","3","5dc1a988dcb3d540e4d15df5","SWacres"
"66","5d8cdb841328534298eacf4a","3","5dc1aa06dcb3d540e4d15df6","tot_ag_pump"
"67","5d8cdb841328534298eacf4a","5","5dc1aa73dcb3d540e4d15df7","urb_back_use"
"68","5d8cdb841328534298eacf4a","6","5dc1aafbdcb3d540e4d15df8","urb_revenue"
"69","5d8cdb841328534298eacf4a","6","5dc1ab77dcb3d540e4d15df9","urb_value_af"
"70","5d8cdb841328534298eacf4a","3","5dc1ac1bdcb3d540e4d15dfa","ag_value"
"71","5d8cdb841328534298eacf4a","4","5dc1ac88dcb3d540e4d15dfb","avgstocks"
"72","5d8cdb841328534298eacf4a","2","5dc1acd7dcb3d540e4d15dfc","diversions"
"73","5d8cdb841328534298eacf4a","6","5dc1ad6adcb3d540e4d15dfd","DNPV_import_costs"
"74","5d8cdb841328534298eacf4a","6","5dc1adc5dcb3d540e4d15dfe","DNPV_export_costs"
"75","5d8cdb841328534298eacf4a","6","5dc1ae07dcb3d540e4d15dff","DNPV_ag_ben"
"76","5d8cdb841328534298eacf4a","6","5dc1b0e2dcb3d540e4d15e00","DNPV_urb_ben"
"77","5d8cdb841328534298eacf4a","6","5dc1b134dcb3d540e4d15e01","DNPV_env_riv_ben"
"78","5d8cdb841328534298eacf4a","6","5dc1b185dcb3d540e4d15e02","DNPV_rec_res_ben"
"79","5d8cdb841328534298eacf4a","6","5dc1b1ccdcb3d540e4d15e03","Farm_income_sw"
"80","5d8cdb841328534298eacf4a","6","5dc1b210dcb3d540e4d15e04","Farm_income_gw"
"81","5d8cdb841328534298eacf4a","6","5dc1b25edcb3d540e4d15e05","Farm_income_bt"
"82","5d8cdb841328534298eacf4a","6","5dc1b2b8dcb3d540e4d15e06","shad_price_res"
"83","5d8cdb841328534298eacf4a","6","5dc1b326dcb3d540e4d15e07","shad_price_aqf"
"84","5d8cdb841328534298eacf4a","6","5dc1b391dcb3d540e4d15e08","shad_price_urb_back_use"
"85","5d8cdb841328534298eacf4a","6","5dc1b408dcb3d540e4d15e09","shad_price_ag_back_use"
"86","5d8cdb841328534298eacf4a","1","5dc1b496dcb3d540e4d15e0a","net_recharge"
"87","5d8cdb841328534298eacf4a","3","5dc1b4e4dcb3d540e4d15e0b","tot_ag_bt_use"
"88","5d8cdb841328534298eacf4a","3","5dc1b527dcb3d540e4d15e0c","ag_use"
